ID	Mean_Control	Mean_Patient	Mean_Change	LogFC	Pvalue	FDR
1	7.2014	7.0717	-0.1297	-0.1297	0.0091	0.19
2	9.2296	8.9591	-0.2705	-0.2705	0.15	0.38
9	6.3054	6.2808	-0.0246	-0.0246	0.46	0.67
10	5.8668	5.8317	-0.035	-0.035	0.42	0.64
12	6.7574	6.9105	0.153	0.153	0.41	0.63
13	5.7464	5.7662	0.0197	0.0197	0.57	0.76
14	7.714	7.7898	0.0758	0.0758	0.3	0.54
15	6.5124	6.4588	-0.0536	-0.0536	0.16	0.39
16	8.0782	8.38	0.3017	0.3017	0.21	0.45
18	6.7561	6.7082	-0.0479	-0.0479	0.11	0.32
19	7.3127	7.3467	0.034	0.034	0.8	0.9
20	7.2491	7.2081	-0.041	-0.041	0.19	0.42
21	6.9433	6.9611	0.0178	0.0178	0.63	0.79
22	7.3348	7.6248	0.29	0.29	0.043	0.23
24	6.417	6.3895	-0.0274	-0.0274	0.31	0.54
25	7.7389	7.7758	0.0369	0.0369	0.63	0.8
26	6.7353	6.7002	-0.035	-0.035	0.49	0.69
27	6.7322	6.9335	0.2013	0.2013	0.078	0.28
28	6.7835	6.7474	-0.0361	-0.0361	0.28	0.51
29	7.3074	7.2295	-0.078	-0.078	0.26	0.5
30	7.7399	7.682	-0.0579	-0.0579	0.33	0.56
31	6.5725	6.8269	0.2544	0.2544	0.22	0.46
32	8.3719	8.4795	0.1076	0.1076	0.64	0.8
33	6.8629	7.1214	0.2584	0.2584	0.019	0.2
34	10.1547	10.0386	-0.1162	-0.1162	0.59	0.77
35	8.2257	8.0333	-0.1924	-0.1924	0.017	0.2
36	7.5702	7.5988	0.0286	0.0286	0.9	0.95
37	10.2485	9.8847	-0.3639	-0.3639	0.041	0.23
38	9.4825	9.3496	-0.1329	-0.1329	0.42	0.64
39	6.6052	6.7012	0.096	0.096	0.013	0.19
40	6.3492	6.3366	-0.0126	-0.0126	0.67	0.82
41	6.7911	6.7297	-0.0614	-0.0614	0.053	0.25
43	7.4822	7.5715	0.0893	0.0893	0.33	0.56
47	7.3104	7.4213	0.1109	0.1109	0.26	0.5
48	7.9502	8.0696	0.1194	0.1194	0.17	0.39
49	6.5658	6.5721	0.0063	0.0063	0.87	0.94
50	10.111	9.8171	-0.2939	-0.2939	0.038	0.23
51	8.1485	8.1841	0.0355	0.0355	0.81	0.9
52	7.7217	7.8463	0.1246	0.1246	0.065	0.26
53	7.082	7.1302	0.0482	0.0482	0.49	0.7
54	6.8555	6.8306	-0.0249	-0.0249	0.71	0.84
55	6.1847	6.1585	-0.0262	-0.0262	0.3	0.53
56	6.126	6.1591	0.0331	0.0331	0.28	0.52
58	13.1267	12.5477	-0.579	-0.579	0.013	0.19
59	8.235	8.0721	-0.1629	-0.1629	0.36	0.59
60	10.081	9.7296	-0.3514	-0.3514	0.034	0.22
70	8.6195	8.7267	0.1071	0.1071	0.79	0.89
71	10.0433	9.6929	-0.3504	-0.3504	0.045	0.24
72	7.4537	7.3767	-0.077	-0.077	0.36	0.58
81	8.1552	8.0494	-0.1058	-0.1058	0.44	0.65
86	7.3187	7.55	0.2314	0.2314	0.0035	0.18
87	7.4276	7.4621	0.0346	0.0346	0.73	0.86
88	11.7807	11.4105	-0.3701	-0.3701	0.088	0.29
89	9.8565	8.7301	-1.1264	-1.1264	0.14	0.36
90	6.9921	7.3511	0.359	0.359	0.012	0.19
91	7.2548	7.3408	0.0861	0.0861	0.12	0.34
92	7.4061	7.5535	0.1473	0.1473	0.18	0.42
93	7.2176	7.2498	0.0322	0.0322	0.73	0.86
94	7.1469	7.0679	-0.079	-0.079	0.083	0.29
95	7.1642	7.1355	-0.0286	-0.0286	0.58	0.76
97	6.642	6.6601	0.0181	0.0181	0.66	0.81
98	7.7932	7.9498	0.1566	0.1566	0.33	0.56
100	7.3012	7.2414	-0.0598	-0.0598	0.18	0.41
101	7.5053	7.33	-0.1753	-0.1753	0.017	0.2
102	7.4511	7.7034	0.2523	0.2523	0.055	0.25
103	7.4573	7.51	0.0527	0.0527	0.4	0.63
104	6.8747	6.9268	0.0521	0.0521	0.61	0.78
105	6.8016	6.7321	-0.0695	-0.0695	0.052	0.25
107	7.2848	7.2089	-0.0759	-0.0759	0.32	0.55
108	8.3273	8.4524	0.1251	0.1251	0.46	0.67
109	6.9537	6.9991	0.0454	0.0454	0.53	0.73
111	6.9102	6.8084	-0.1018	-0.1018	0.016	0.2
112	7.2858	7.2529	-0.0329	-0.0329	0.61	0.78
113	7.1652	7.0437	-0.1215	-0.1215	0.0087	0.19
114	6.2319	6.2278	-0.0041	-0.0041	0.85	0.92
115	8.179	8.2757	0.0966	0.0966	0.42	0.64
116	7.0757	7.0131	-0.0626	-0.0626	0.22	0.45
117	6.8936	6.787	-0.1066	-0.1066	0.016	0.2
118	8.8779	8.8517	-0.0263	-0.0263	0.71	0.84
119	6.9898	6.92	-0.0698	-0.0698	0.11	0.32
120	7.0513	6.9734	-0.0779	-0.0779	0.48	0.68
123	8.5367	8.8773	0.3405	0.3405	0.14	0.37
124	7.2777	7.2348	-0.0429	-0.0429	0.69	0.83
125	7.5081	7.7322	0.2242	0.2242	0.23	0.46
126	7.416	7.3816	-0.0344	-0.0344	0.78	0.89
127	6.1377	6.1172	-0.0205	-0.0205	0.6	0.77
128	9.2007	9.0568	-0.1439	-0.1439	0.095	0.31
130	6.0027	5.9759	-0.0269	-0.0269	0.32	0.55
131	6.6576	6.6685	0.0109	0.0109	0.8	0.9
132	7.5733	7.6683	0.095	0.095	0.33	0.57
133	7.1326	7.3067	0.1741	0.1741	0.14	0.37
134	7.4668	7.3135	-0.1533	-0.1533	0.019	0.2
135	7.0048	6.9516	-0.0532	-0.0532	0.15	0.38
136	7.3982	7.2086	-0.1896	-0.1896	0.024	0.2
140	6.7277	6.6322	-0.0954	-0.0954	0.031	0.22
141	6.4492	6.536	0.0868	0.0868	0.071	0.27
142	8.17	8.2906	0.1206	0.1206	0.32	0.55
143	6.9887	7.0783	0.0896	0.0896	0.49	0.7
146	6.6427	6.655	0.0124	0.0124	0.8	0.89
147	7.1139	7.0291	-0.0847	-0.0847	0.031	0.22
148	6.6452	6.5877	-0.0575	-0.0575	0.14	0.37
150	6.6627	6.6488	-0.0139	-0.0139	0.83	0.91
151	7.4555	7.3154	-0.1401	-0.1401	0.0057	0.18
152	7.3669	7.3318	-0.0352	-0.0352	0.52	0.72
153	8.0801	7.7773	-0.3028	-0.3028	0.0084	0.19
154	7.3771	7.4234	0.0463	0.0463	0.66	0.81
155	6.8839	6.74	-0.1439	-0.1439	0.032	0.22
156	7.7344	7.8207	0.0862	0.0862	0.056	0.25
157	6.4169	6.4712	0.0544	0.0544	0.43	0.65
158	9.2754	9.2198	-0.0556	-0.0556	0.71	0.84
159	6.7293	6.9795	0.2502	0.2502	0.0062	0.18
160	8.0813	8.1135	0.0322	0.0322	0.61	0.78
161	7.5581	7.6188	0.0606	0.0606	0.38	0.6
162	7.4474	7.4857	0.0383	0.0383	0.44	0.66
163	8.2816	8.3889	0.1073	0.1073	0.18	0.41
164	8.0366	8.1864	0.1499	0.1499	0.15	0.38
165	7.2196	7.2065	-0.0132	-0.0132	0.9	0.95
166	9.4239	9.2766	-0.1473	-0.1473	0.43	0.65
167	6.0702	6.0637	-0.0065	-0.0065	0.83	0.92
172	6.9203	6.8772	-0.0431	-0.0431	0.15	0.37
173	6.0282	6.0081	-0.0201	-0.0201	0.45	0.67
174	6.0851	6.0725	-0.0126	-0.0126	0.6	0.78
175	6.6975	6.771	0.0735	0.0735	0.37	0.59
176	6.5749	6.5269	-0.048	-0.048	0.12	0.34
178	9.6349	9.5846	-0.0504	-0.0504	0.86	0.93
181	7.4356	7.296	-0.1396	-0.1396	0.043	0.23
182	7.4262	7.3963	-0.0299	-0.0299	0.74	0.86
183	7.6244	7.5223	-0.1021	-0.1021	0.38	0.61
185	6.8107	6.8285	0.0178	0.0178	0.76	0.88
186	5.9364	5.9418	0.0053	0.0053	0.89	0.95
187	7.332	7.1748	-0.1571	-0.1571	0.2	0.44
189	7.334	7.1429	-0.191	-0.191	0.0044	0.18
190	6.1854	6.124	-0.0614	-0.0614	0.17	0.4
191	7.7797	7.8427	0.063	0.063	0.31	0.54
196	6.8629	6.9659	0.103	0.103	0.27	0.51
197	6.564	6.4754	-0.0886	-0.0886	0.027	0.21
202	6.2921	6.3596	0.0675	0.0675	0.12	0.34
203	9.1198	8.9144	-0.2054	-0.2054	0.23	0.47
204	7.5404	7.7385	0.1981	0.1981	0.015	0.2
205	7.1657	7.1052	-0.0604	-0.0604	0.18	0.41
207	7.9828	7.9297	-0.0531	-0.0531	0.39	0.62
208	8.9131	8.7433	-0.1698	-0.1698	0.078	0.28
210	7.3069	7.299	-0.0079	-0.0079	0.87	0.93
211	7.7725	7.9551	0.1825	0.1825	0.084	0.29
212	6.6103	6.586	-0.0244	-0.0244	0.7	0.84
213	6.1672	6.1329	-0.0343	-0.0343	0.22	0.46
214	6.3432	6.3962	0.053	0.053	0.32	0.55
215	7.1325	7.1658	0.0333	0.0333	0.55	0.74
216	8.1569	8.099	-0.0578	-0.0578	0.79	0.89
217	8.983	8.8548	-0.1282	-0.1282	0.6	0.77
218	6.8545	6.8084	-0.0462	-0.0462	0.26	0.5
219	7.7674	8.0365	0.2691	0.2691	0.087	0.29
220	7.0479	7.1603	0.1124	0.1124	0.15	0.37
221	7.7864	7.5837	-0.2027	-0.2027	0.014	0.19
222	6.7383	6.6787	-0.0596	-0.0596	0.14	0.37
223	8.2748	8.3083	0.0335	0.0335	0.78	0.88
224	8.4206	8.5601	0.1395	0.1395	0.28	0.52
225	6.0541	6.0507	-0.0034	-0.0034	0.95	0.97
226	10.0465	9.7244	-0.3221	-0.3221	0.036	0.22
229	6.206	6.2075	0.0014	0.0014	0.97	0.98
230	6.6909	6.6742	-0.0167	-0.0167	0.69	0.83
231	8.7462	8.7966	0.0504	0.0504	0.58	0.76
238	6.7348	6.6789	-0.0559	-0.0559	0.13	0.36
239	6.6184	6.6022	-0.0162	-0.0162	0.58	0.76
240	6.7092	6.7414	0.0322	0.0322	0.39	0.62
241	6.8122	6.7664	-0.0458	-0.0458	0.55	0.74
242	6.8229	6.8149	-0.008	-0.008	0.86	0.93
244	8.1854	7.7246	-0.4608	-0.4608	0.0056	0.18
245	6.3022	6.2614	-0.0407	-0.0407	0.27	0.51
246	6.6175	6.5823	-0.0352	-0.0352	0.35	0.58
247	6.8522	6.7902	-0.062	-0.062	0.086	0.29
248	7.3086	7.1332	-0.1754	-0.1754	0.0013	0.18
249	6.8726	6.8491	-0.0235	-0.0235	0.62	0.79
250	6.8176	6.7087	-0.1089	-0.1089	0.014	0.19
251	7.3454	7.188	-0.1574	-0.1574	0.035	0.22
257	7.9951	7.8003	-0.1947	-0.1947	0.071	0.27
258	6.1238	6.0708	-0.053	-0.053	0.057	0.25
259	6.9757	6.844	-0.1317	-0.1317	0.011	0.19
262	7.2486	7.5221	0.2735	0.2735	0.023	0.2
265	6.338	6.2504	-0.0876	-0.0876	0.04	0.23
266	6.4552	6.3383	-0.1169	-0.1169	0.014	0.19
267	8.7258	8.9579	0.2321	0.2321	0.15	0.38
268	7.7341	7.4609	-0.2732	-0.2732	0.005	0.18
269	6.8149	6.7759	-0.0391	-0.0391	0.37	0.59
270	11.0471	10.6067	-0.4404	-0.4404	0.14	0.36
271	7.0571	7.0184	-0.0388	-0.0388	0.54	0.74
272	7.2938	7.3466	0.0528	0.0528	0.76	0.87
273	6.5218	6.5343	0.0125	0.0125	0.87	0.93
274	10.1176	9.9979	-0.1198	-0.1198	0.38	0.61
275	6.8259	6.7322	-0.0937	-0.0937	0.039	0.23
280	6.6967	6.8889	0.1923	0.1923	0.083	0.29
283	6.5321	6.4957	-0.0365	-0.0365	0.27	0.5
284	7.4162	7.1396	-0.2767	-0.2767	0.15	0.38
285	6.6237	6.821	0.1972	0.1972	0.22	0.46
286	7.6145	7.5248	-0.0898	-0.0898	0.28	0.51
287	8.1329	8.1127	-0.0203	-0.0203	0.9	0.95
288	7.5098	7.486	-0.0238	-0.0238	0.89	0.94
290	6.7754	6.7513	-0.0241	-0.0241	0.55	0.74
291	10.2861	10.1966	-0.0895	-0.0895	0.65	0.81
292	8.235	8.2281	-0.0069	-0.0069	0.96	0.98
301	7.6849	7.691	0.006	0.006	0.97	0.99
302	8.254	8.2905	0.0365	0.0365	0.83	0.92
303	6.7183	6.9183	0.2001	0.2001	0.11	0.32
304	7.4272	7.7809	0.3537	0.3537	0.17	0.4
305	6.4239	6.4189	-0.005	-0.005	0.91	0.96
306	6.8552	7.191	0.3358	0.3358	0.018	0.2
307	6.8039	7.0043	0.2004	0.2004	0.026	0.21
308	8.6249	8.8033	0.1784	0.1784	0.39	0.61
309	9.3368	9.2624	-0.0744	-0.0744	0.46	0.67
310	8.4747	8.5735	0.0988	0.0988	0.45	0.66
311	9.1522	8.9416	-0.2106	-0.2106	0.038	0.22
312	6.049	6.0596	0.0106	0.0106	0.71	0.84
313	6.2314	6.2819	0.0506	0.0506	0.21	0.44
314	6.1141	6.1327	0.0186	0.0186	0.47	0.68
316	6.5019	6.5412	0.0393	0.0393	0.72	0.85
317	6.3746	6.5795	0.2049	0.2049	0.036	0.22
318	6.7569	6.7514	-0.0055	-0.0055	0.91	0.96
319	6.2918	6.3444	0.0526	0.0526	0.3	0.53
320	6.6995	6.7261	0.0267	0.0267	0.49	0.69
321	6.6187	6.5582	-0.0605	-0.0605	0.075	0.28
322	7.7063	7.6922	-0.0142	-0.0142	0.77	0.88
323	7.3286	7.3779	0.0493	0.0493	0.53	0.73
324	7.0256	7.2364	0.2108	0.2108	0.022	0.2
325	6.2971	6.3775	0.0804	0.0804	0.02	0.2
326	7.7428	7.4695	-0.2733	-0.2733	0.0027	0.18
327	8.0826	8.2426	0.16	0.16	0.079	0.28
328	7.478	7.533	0.0549	0.0549	0.25	0.49
329	7.6883	7.9157	0.2273	0.2273	0.032	0.22
330	6.2548	6.4705	0.2157	0.2157	0.022	0.2
331	7.0705	7.2368	0.1663	0.1663	0.023	0.2
332	6.7706	6.716	-0.0547	-0.0547	0.1	0.31
333	7.159	7.0247	-0.1344	-0.1344	0.035	0.22
334	8.5668	8.572	0.0051	0.0051	0.96	0.98
335	7.2846	7.1561	-0.1285	-0.1285	0.075	0.28
336	6.7488	6.6229	-0.1259	-0.1259	0.009	0.19
337	7.2697	7.1727	-0.097	-0.097	0.082	0.29
338	6.4972	6.4542	-0.043	-0.043	0.31	0.54
339	6.337	6.2768	-0.0602	-0.0602	0.036	0.22
341	6.5775	6.6493	0.0719	0.0719	0.59	0.77
342	6.7745	6.7236	-0.051	-0.051	0.37	0.6
343	7.2194	7.0697	-0.1497	-0.1497	0.051	0.24
344	6.7907	6.7279	-0.0628	-0.0628	0.22	0.45
345	6.7345	6.6104	-0.1241	-0.1241	0.029	0.21
346	8.2549	7.9338	-0.3211	-0.3211	0.02	0.2
347	10.03	9.9292	-0.1009	-0.1009	0.61	0.78
348	7.3988	7.2974	-0.1014	-0.1014	0.099	0.31
350	6.0268	6.0363	0.0095	0.0095	0.77	0.88
351	9.0695	8.8296	-0.2399	-0.2399	0.18	0.41
353	7.5698	7.4785	-0.0914	-0.0914	0.16	0.39
